battery_id,cycle_index,filename,capacity,init_capacity,eol_capacity_threshold,eol_cycle,RUL
B0005,1,05174.csv,1.825780747577624,1.825780747577624,1.2780465233043368,168,167
B0005,2,05122.csv,1.8564874208181572,1.825780747577624,1.2780465233043368,168,166
B0005,3,05124.csv,1.846327249719927,1.825780747577624,1.2780465233043368,168,165
B0005,4,05214.csv,1.8199041089501269,1.825780747577624,1.2780465233043368,168,164
B0005,5,05230.csv,1.7884432335370462,1.825780747577624,1.2780465233043368,168,163
B0005,6,05260.csv,1.7517304870664143,1.825780747577624,1.2780465233043368,168,162
B0005,7,05282.csv,1.7570177850353066,1.825780747577624,1.2780465233043368,168,161
B0005,8,05138.csv,1.8247738529891333,1.825780747577624,1.2780465233043368,168,160
B0005,9,05147.csv,1.8137521577549052,1.825780747577624,1.2780465233043368,168,159
B0005,10,05149.csv,1.8134404914735824,1.825780747577624,1.2780465233043368,168,158
B0005,11,05310.csv,1.706014499648521,1.825780747577624,1.2780465233043368,168,157
B0005,12,05314.csv,1.7003110272642588,1.825780747577624,1.2780465233043368,168,156
B0005,13,05318.csv,1.6945798601797897,1.825780747577624,1.2780465233043368,168,155
B0005,14,05460.csv,1.5065638960681105,1.825780747577624,1.2780465233043368,168,154
B0005,15,05480.csv,1.4752095869031632,1.825780747577624,1.2780465233043368,168,153
B0005,16,05557.csv,1.4173547174485526,1.825780747577624,1.2780465233043368,168,152
B0005,17,05334.csv,1.663716375981405,1.825780747577624,1.2780465233043368,168,151
B0005,18,05336.csv,1.659013868748246,1.825780747577624,1.2780465233043368,168,150
B0005,19,05322.csv,1.6849029086609286,1.825780747577624,1.2780465233043368,168,149
B0005,20,05326.csv,1.6744741591159715,1.825780747577624,1.2780465233043368,168,148
B0005,21,05605.csv,1.369850003583894,1.825780747577624,1.2780465233043368,168,147
B0005,22,05625.csv,1.349314997503458,1.825780747577624,1.2780465233043368,168,146
B0005,23,05645.csv,1.3286444309174914,1.825780747577624,1.2780465233043368,168,145
B0005,24,05672.csv,1.3395306867947354,1.825780747577624,1.2780465233043368,168,144
B0005,25,05692.csv,1.3132020634442203,1.825780747577624,1.2780465233043368,168,143
B0005,26,05390.csv,1.5747301747801037,1.825780747577624,1.2780465233043368,168,142
B0005,27,05418.csv,1.527914258251028,1.825780747577624,1.2780465233043368,168,141
B0005,28,05410.csv,1.5488741079890418,1.825780747577624,1.2780465233043368,168,140
B0005,29,05430.csv,1.5174859938489869,1.825780747577624,1.2780465233043368,168,139
B0005,30,05202.csv,1.804077040117352,1.825780747577624,1.2780465233043368,168,138
B0005,31,05222.csv,1.80460990458052,1.825780747577624,1.2780465233043368,168,137
B0005,32,05234.csv,1.7829230484252725,1.825780747577624,1.2780465233043368,168,136
B0005,33,05238.csv,1.7730337158018288,1.825780747577624,1.2780465233043368,168,135
B0005,34,05126.csv,1.835349194223408,1.825780747577624,1.2780465233043368,168,134
B0005,35,05151.csv,1.8025980036306504,1.825780747577624,1.2780465233043368,168,133
B0005,36,05302.csv,1.7158065389330133,1.825780747577624,1.2780465233043368,168,132
B0005,37,05306.csv,1.710533351135192,1.825780747577624,1.2780465233043368,168,131
B0005,38,05440.csv,1.5480915247767786,1.825780747577624,1.2780465233043368,168,130
B0005,39,05330.csv,1.6745692479879102,1.825780747577624,1.2780465233043368,168,129
B0005,40,05641.csv,1.3340066759761655,1.825780747577624,1.2780465233043368,168,128
B0005,41,05712.csv,1.2978870806495706,1.825780747577624,1.2780465233043368,168,127
B0005,42,05716.csv,1.2980735056918902,1.825780747577624,1.2780465233043368,168,126
B0005,43,05166.csv,1.847417311283644,1.825780747577624,1.2780465233043368,168,125
B0005,44,05360.csv,1.622125485521159,1.825780747577624,1.2780465233043368,168,124
B0005,45,05433.csv,1.605818899130659,1.825780747577624,1.2780465233043368,168,123
B0005,46,05444.csv,1.5323755631868592,1.825780747577624,1.2780465233043368,168,122
B0005,47,05128.csv,1.8352625275821128,1.825780747577624,1.2780465233043368,168,121
B0005,48,05130.csv,1.8346455082120416,1.825780747577624,1.2780465233043368,168,120
B0005,49,05132.csv,1.8356616600675493,1.825780747577624,1.2780465233043368,168,119
B0005,50,05134.csv,1.8351461429226603,1.825780747577624,1.2780465233043368,168,118
B0005,51,05136.csv,1.8257567905665535,1.825780747577624,1.2780465233043368,168,117
B0005,52,05140.csv,1.824613268496936,1.825780747577624,1.2780465233043368,168,116
B0005,53,05142.csv,1.8246195526864504,1.825780747577624,1.2780465233043368,168,115
B0005,54,05145.csv,1.814201935767392,1.825780747577624,1.2780465233043368,168,114
B0005,55,05153.csv,1.80210690024615,1.825780747577624,1.2780465233043368,168,113
B0005,56,05155.csv,1.802579500826209,1.825780747577624,1.2780465233043368,168,112
B0005,57,05157.csv,1.8030683142834096,1.825780747577624,1.2780465233043368,168,111
B0005,58,05159.csv,1.802777624719604,1.825780747577624,1.2780465233043368,168,110
B0005,59,05162.csv,1.8470259949329195,1.825780747577624,1.2780465233043368,168,109
B0005,60,05170.csv,1.8361774213478947,1.825780747577624,1.2780465233043368,168,108
B0005,61,05178.csv,1.8251136435078368,1.825780747577624,1.2780465233043368,168,107
B0005,62,05182.csv,1.825581504220376,1.825780747577624,1.2780465233043368,168,106
B0005,63,05186.csv,1.814031127508391,1.825780747577624,1.2780465233043368,168,105
B0005,64,05190.csv,1.8147691941158937,1.825780747577624,1.2780465233043368,168,104
B0005,65,05194.csv,1.813969388710352,1.825780747577624,1.2780465233043368,168,103
B0005,66,05198.csv,1.802765665167823,1.825780747577624,1.2780465233043368,168,102
B0005,67,05206.csv,1.8518025516704488,1.825780747577624,1.2780465233043368,168,101
B0005,68,05210.csv,1.8307038456739428,1.825780747577624,1.2780465233043368,168,100
B0005,69,05218.csv,1.809307963702852,1.825780747577624,1.2780465233043368,168,99
B0005,70,05226.csv,1.7993770651972192,1.825780747577624,1.2780465233043368,168,98
B0005,71,05242.csv,1.773037755078937,1.825780747577624,1.2780465233043368,168,97
B0005,72,05246.csv,1.7678721106662054,1.825780747577624,1.2780465233043368,168,96
B0005,73,05250.csv,1.762315070409309,1.825780747577624,1.2780465233043368,168,95
B0005,74,05254.csv,1.7676172924938447,1.825780747577624,1.2780465233043368,168,94
B0005,75,05256.csv,1.762668359743147,1.825780747577624,1.2780465233043368,168,93
B0005,76,05268.csv,1.7360913511847138,1.825780747577624,1.2780465233043368,168,92
B0005,77,05270.csv,1.7936240148573608,1.825780747577624,1.2780465233043368,168,91
B0005,78,05274.csv,1.7831890223273277,1.825780747577624,1.2780465233043368,168,90
B0005,79,05286.csv,1.7468706179837907,1.825780747577624,1.2780465233043368,168,89
B0005,80,05290.csv,1.7417172507457144,1.825780747577624,1.2780465233043368,168,88
B0005,81,05298.csv,1.7263217239235826,1.825780747577624,1.2780465233043368,168,87
B0005,82,05340.csv,1.6538540573335014,1.825780747577624,1.2780465233043368,168,86
B0005,83,05344.csv,1.642653782130131,1.825780747577624,1.2780465233043368,168,85
B0005,84,05348.csv,1.6378578430223698,1.825780747577624,1.2780465233043368,168,84
B0005,85,05352.csv,1.6327350407099108,1.825780747577624,1.2780465233043368,168,83
B0005,86,05356.csv,1.6277528915533617,1.825780747577624,1.2780465233043368,168,82
B0005,87,05364.csv,1.6113256603765849,1.825780747577624,1.2780465233043368,168,81
B0005,88,05368.csv,1.6065631397488385,1.825780747577624,1.2780465233043368,168,80
B0005,89,05376.csv,1.590369231400328,1.825780747577624,1.2780465233043368,168,79
B0005,90,05380.csv,1.5857889968242211,1.825780747577624,1.2780465233043368,168,78
B0005,91,05386.csv,1.5955263892495937,1.825780747577624,1.2780465233043368,168,77
B0005,92,05394.csv,1.5649019950937946,1.825780747577624,1.2780465233043368,168,76
B0005,93,05398.csv,1.5597659473370362,1.825780747577624,1.2780465233043368,168,75
B0005,94,05402.csv,1.5594815668184234,1.825780747577624,1.2780465233043368,168,74
B0005,95,05406.csv,1.55468935359061,1.825780747577624,1.2780465233043368,168,73
B0005,96,05414.csv,1.538236598942558,1.825780747577624,1.2780465233043368,168,72
B0005,97,05422.csv,1.5285252629756445,1.825780747577624,1.2780465233043368,168,71
B0005,98,05426.csv,1.522647325284378,1.825780747577624,1.2780465233043368,168,70
B0005,99,05436.csv,1.5638491446744425,1.825780747577624,1.2780465233043368,168,69
B0005,100,05448.csv,1.5269528268489705,1.825780747577624,1.2780465233043368,168,68
B0005,101,05452.csv,1.5169573017136326,1.825780747577624,1.2780465233043368,168,67
B0005,102,05456.csv,1.511897596014269,1.825780747577624,1.2780465233043368,168,66
B0005,103,05464.csv,1.5015453526671363,1.825780747577624,1.2780465233043368,168,65
B0005,104,05468.csv,1.4908444050400238,1.825780747577624,1.2780465233043368,168,64
B0005,105,05472.csv,1.485868384561201,1.825780747577624,1.2780465233043368,168,63
B0005,106,05476.csv,1.480413677976106,1.825780747577624,1.2780465233043368,168,62
B0005,107,05484.csv,1.4859035988304024,1.825780747577624,1.2780465233043368,168,61
B0005,108,05487.csv,1.4960918298136696,1.825780747577624,1.2780465233043368,168,60
B0005,109,05491.csv,1.4808005946928984,1.825780747577624,1.2780465233043368,168,59
B0005,110,05495.csv,1.4697543268466824,1.825780747577624,1.2780465233043368,168,58
B0005,111,05499.csv,1.4539012274845928,1.825780747577624,1.2780465233043368,168,57
B0005,112,05503.csv,1.454146206723569,1.825780747577624,1.2780465233043368,168,56
B0005,113,05507.csv,1.455023751906683,1.825780747577624,1.2780465233043368,168,55
B0005,114,05511.csv,1.449042163761236,1.825780747577624,1.2780465233043368,168,54
B0005,115,05515.csv,1.4386709371480566,1.825780747577624,1.2780465233043368,168,53
B0005,116,05519.csv,1.433445432156979,1.825780747577624,1.2780465233043368,168,52
B0005,117,05523.csv,1.4333958900838095,1.825780747577624,1.2780465233043368,168,51
B0005,118,05531.csv,1.4229203181741186,1.825780747577624,1.2780465233043368,168,50
B0005,119,05539.csv,1.412409228794446,1.825780747577624,1.2780465233043368,168,49
B0005,120,05543.csv,1.412578792940193,1.825780747577624,1.2780465233043368,168,48
B0005,121,05551.csv,1.4333920485221476,1.825780747577624,1.2780465233043368,168,47
B0005,122,05553.csv,1.4382550176792908,1.825780747577624,1.2780465233043368,168,46
B0005,123,05561.csv,1.406981663677643,1.825780747577624,1.2780465233043368,168,45
B0005,124,05569.csv,1.3967008232726328,1.825780747577624,1.2780465233043368,168,44
B0005,125,05573.csv,1.391284788852726,1.825780747577624,1.2780465233043368,168,43
B0005,126,05577.csv,1.3862287677978349,1.825780747577624,1.2780465233043368,168,42
